name,ballots,Abdul El-Sayed,Mallory McMorrow,Haley Stevens,Write-in,id
"City of Detroit, Precinct 312",13,5,0,7,0,1632200001312.0
"City of Detroit, Precinct 313",10,3,0,7,0,1632200002313.0
"City of Detroit, Precinct 315",11,2,2,7,0,1632200001315.0
"City of Detroit, Precinct 316",15,4,1,10,0,1632200001316.0
"City of Detroit, Precinct 317",7,2,1,3,0,1632200001317.0
"City of Detroit, Precinct 318",5,1,0,4,0,1632200002318.0
"City of Detroit, Precinct 319",6,1,0,4,0,1632200001319.0
"City of Detroit, Precinct 320",11,2,1,7,0,1632200001320.0
"City of Detroit, Precinct 321",4,2,0,2,0,1632200001321.0
"City of Detroit, Precinct 323",38,14,1,22,0,1632200001323.0
"City of Detroit, Precinct 324",29,10,0,18,0,1632200001324.0
"City of Detroit, Precinct 325",13,4,0,9,0,1632200001325.0
"City of Detroit, Precinct 326",31,7,2,20,0,1632200001326.0
"City of Detroit, Precinct 328",8,4,0,4,0,1632200001328.0
"City of Detroit, Precinct 329",7,1,0,6,0,1632200001329.0
"City of Detroit, Precinct 330",4,1,0,3,0,1632200007330.0
"City of Detroit, Precinct 331",15,5,0,10,0,1632200007331.0
"City of Detroit, Precinct 333",4,1,0,3,0,1632200007333.0
"City of Detroit, Precinct 334",1,0,0,1,0,1632200007334.0
"City of Detroit, Precinct 335",3,0,0,3,0,1632200007335.0
"City of Detroit, Precinct 336",3,0,0,2,0,1632200007336.0
"City of Detroit, Precinct 337",5,3,0,2,0,1632200007337.0
"City of Detroit, Precinct 338",2,2,0,0,0,1632200007338.0
"City of Detroit, Precinct 339",3,1,1,1,0,1632200007339.0
"City of Detroit, Precinct 340",2,0,0,1,0,1632200007340.0
"City of Detroit, Precinct 341",7,6,0,1,0,1632200007341.0
"City of Detroit, Precinct 342",5,2,0,3,0,1632200007342.0
"City of Detroit, Precinct 343",8,4,0,4,0,1632200007343.0
"City of Detroit, Precinct 344",5,0,0,4,0,1632200007344.0
"City of Detroit, Precinct 345",6,0,1,5,0,1632200007345.0
"City of Detroit, Precinct 346",6,3,0,3,0,1632200007346.0
"City of Detroit, Precinct 347",9,1,0,8,0,1632200007347.0
"City of Detroit, Precinct 348",4,3,1,0,0,1632200007348.0
"City of Detroit, Precinct 349",18,3,1,13,0,1632200007349.0
"City of Detroit, Precinct 350",4,0,0,3,0,1632200001350.0
"City of Detroit, Precinct 351",8,0,1,5,0,1632200001351.0
"City of Detroit, Precinct 352",7,1,1,5,0,1632200001352.0
"City of Detroit, Precinct 353",2,1,0,1,0,1632200007353.0
"City of Detroit, Precinct 355",4,2,0,2,0,1632200007355.0
"City of Detroit, Precinct 356",4,0,0,4,0,1632200007356.0
"City of Detroit, Precinct 357",16,3,0,13,0,1632200001357.0
"City of Detroit, Precinct 359",16,3,1,11,0,1632200001359.0
"City of Detroit, Precinct 360",0,0,0,0,0,1632200006360.0
"City of Detroit, Precinct 361",18,2,1,13,0,1632200001361.0
"City of Detroit, Precinct 362",4,1,0,2,0,1632200001362.0
"City of Detroit, Precinct 363",4,1,0,3,0,1632200007363.0
"City of Detroit, Precinct 364",5,1,0,4,0,1632200007364.0
"City of Detroit, Precinct 365",4,0,1,3,0,1632200007365.0
"City of Detroit, Precinct 368",2,0,0,2,0,1632200007368.0
"City of Detroit, Precinct 369",10,4,0,5,0,1632200007369.0
"City of Detroit, Precinct 370",2,1,0,1,0,1632200007370.0
"City of Detroit, Precinct 371",3,0,0,3,0,1632200007371.0
"City of Detroit, Precinct 373",6,2,0,4,0,1632200007373.0
"City of Detroit, Precinct 374",3,1,0,2,0,1632200007374.0
"City of Detroit, Precinct 375",7,3,0,4,0,1632200007375.0
"City of Detroit, Precinct 376",10,8,0,1,0,1632200007376.0
"City of Detroit, Precinct 377",4,3,0,1,0,1632200007377.0
"City of Detroit, Precinct 378",4,3,1,0,0,1632200001378.0
"City of Detroit, Precinct 379",15,4,0,10,0,1632200001379.0
"City of Detroit, Precinct 380",18,3,0,14,0,1632200007380.0
"City of Detroit, Precinct 381",38,10,1,24,0,1632200007381.0
"City of Detroit, Precinct 383",10,4,0,6,0,1632200002383.0
"City of Detroit, Precinct 384",17,4,2,9,0,1632200002384.0
"City of Detroit, Precinct 385",7,5,1,1,0,1632200002385.0
"City of Detroit, Precinct 386",18,3,1,12,0,1632200002386.0
"City of Detroit, Precinct 387",7,3,0,2,0,1632200002387.0
