name,ballots,James D. Hooper,Write-in,id
"City of Detroit, Precinct 403",335,2,1,1632200002403
"City of Detroit, Precinct 404",100,1,0,1632200007404
"City of Detroit, Precinct 406",235,1,0,1632200007406
"City of Detroit, Precinct 407",50,0,1,1632200007407
"City of Detroit, Precinct 408",166,2,0,1632200007408
"City of Detroit, Precinct 410",390,6,0,1632200007410
"City of Detroit, Precinct 411",343,5,0,1632200007411
"City of Detroit, Precinct 413",442,7,0,1632200007413
"City of Detroit, Precinct 495",291,2,1,1632200001495
"City of Detroit, Precinct 501",202,7,0,1632200001501
"City of Garden City, Precinct 1",805,240,3,1633142000001
"City of Garden City, Precinct 2",622,201,0,1633142000002
"City of Garden City, Precinct 3",650,185,2,1633142000003
"City of Garden City, Precinct 4",313,101,0,1633142000004
"City of Garden City, Precinct 5",424,141,0,1633142000005
"City of Garden City, Precinct 6",655,224,2,1633142000006
"City of Garden City, Precinct 7",543,162,0,1633142000007
"City of Garden City, Precinct 8",876,247,0,1633142000008
"City of Garden City, Precinct 9",546,146,1,1633142000009
"City of Garden City, Precinct 10",520,136,0,1633142000010
"City of Inkster, District 1 Precinct 1",253,2,0,1634068001001
"City of Inkster, District 1 Precinct 2",177,2,1,1634068001002
"City of Inkster, District 2 Precinct 1",385,19,2,1634068002001
"City of Inkster, District 2 Precinct 2",394,12,0,1634068002002
"City of Inkster, District 3 Precinct 1",273,3,0,1634068003001
"City of Inkster, District 3 Precinct 2",343,4,0,1634068003002
"City of Inkster, District 4 Precinct 1",410,42,1,1634068004001
"City of Inkster, District 4 Precinct 2",343,27,0,1634068004002
"City of Inkster, District 5 Precinct 1",443,9,0,1634068005001
"City of Inkster, District 6 Precinct 1",273,11,0,1634068006001
"City of Inkster, District 6 Precinct 2",280,16,0,1634068006002
"City of Livonia, Precinct 1",1175,277,1,1634900000001
"City of Livonia, Precinct 2",1133,214,1,1634900000002
"City of Livonia, Precinct 3",1688,474,1,1634900000003
"City of Livonia, Precinct 4",1282,449,1,1634900000004
"City of Livonia, Precinct 5",932,317,0,1634900000005
"City of Livonia, Precinct 6",1398,505,0,1634900000006
"City of Livonia, Precinct 7",1814,628,0,1634900000007
"City of Livonia, Precinct 8",1486,396,0,1634900000008
"City of Livonia, Precinct 9",1595,409,1,1634900000009
"City of Livonia, Precinct 10",1841,571,2,1634900000010
"City of Livonia, Precinct 11",1504,468,1,1634900000011
"City of Livonia, Precinct 12",1662,528,2,1634900000012
"City of Livonia, Precinct 13",896,333,0,1634900000013
"City of Livonia, Precinct 14",1564,475,2,1634900000014
"City of Livonia, Precinct 15",960,308,0,1634900000015
"City of Livonia, Precinct 16",1485,466,0,1634900000016
"City of Livonia, Precinct 17",1281,414,0,1634900000017
"City of Livonia, Precinct 18",1335,333,2,1634900000018
"City of Livonia, Precinct 19",878,212,0,1634900000019
"City of Livonia, Precinct 20",601,151,1,1634900000020
"City of Livonia, Precinct 21",1431,401,0,1634900000021
"City of Livonia, Precinct 22",646,161,0,1634900000022
"City of Livonia, Precinct 23",694,151,1,1634900000023
"City of Livonia, Precinct 24",1133,319,0,1634900000024
"City of Livonia, Precinct 25",1704,539,1,1634900000025
"City of Livonia, Precinct 26",1475,412,0,1634900000026
"Redford Township, Precinct 1",600,84,1,1636762500001
"Redford Township, Precinct 2",74,14,0,1636762500002
"Redford Township, Precinct 3",1033,185,1,1636762500003
"Redford Township, Precinct 4",616,102,0,1636762500004
"Redford Township, Precinct 5",1244,164,1,1636762500005
"Redford Township, Precinct 6",931,194,1,1636762500006
"Redford Township, Precinct 7",876,125,0,1636762500007
"Redford Township, Precinct 8",993,144,2,1636762500008
"Redford Township, Precinct 9",993,89,1,1636762500009
"Redford Township, Precinct 10",1096,127,0,1636762500010
"Redford Township, Precinct 11",1389,230,1,1636762500011
"Redford Township, Precinct 12",1459,125,2,1636762500012
"City of Westland, Precinct 1",1011,172,1,1638600000001
"City of Westland, Precinct 2",951,172,0,1638600000002
"City of Westland, Precinct 3",1309,333,0,1638600000003
"City of Westland, Precinct 4",1316,348,0,1638600000004
"City of Westland, Precinct 5",1146,293,0,1638600000005
"City of Westland, Precinct 6",992,200,0,1638600000006
"City of Westland, Precinct 7",1080,248,1,1638600000007
"City of Westland, Precinct 8",602,62,3,1638600000008
"City of Westland, Precinct 9",1006,300,3,1638600000009
"City of Westland, Precinct 10",1124,247,1,1638600000010
"City of Westland, Precinct 11",1086,275,1,1638600000011
"City of Westland, Precinct 12",893,269,2,1638600000012
"City of Westland, Precinct 13",910,272,2,1638600000013
"City of Westland, Precinct 14",897,263,1,1638600000014
"City of Westland, Precinct 15",552,154,1,1638600000015
"City of Westland, Precinct 16",798,167,1,1638600000016
"City of Westland, Precinct 17",1029,239,3,1638600000017
"City of Westland, Precinct 28",963,103,1,1638600000028
