name,ballots,Jocelyn Benson,Christopher Robert Swanson,Write-in,id
"City of Detroit, Precinct 411",235,192,18,1,1632200007411.0
"City of Detroit, Precinct 413",246,210,12,0,1632200007413.0
"City of Detroit, Precinct 414",71,59,1,0,1632200007414.0
"City of Detroit, Precinct 415",158,126,13,0,1632200007415.0
"City of Detroit, Precinct 416",58,47,5,0,1632200006416.0
"City of Detroit, Precinct 417",50,41,2,0,1632200006417.0
"City of Detroit, Precinct 418",133,107,12,0,1632200006418.0
"City of Detroit, Precinct 419",141,106,14,0,1632200006419.0
"City of Detroit, Precinct 420",82,59,7,0,1632200006420.0
"City of Detroit, Precinct 421",23,20,2,0,1632200006421.0
"City of Detroit, Precinct 422",89,71,5,0,1632200006422.0
"City of Detroit, Precinct 423",82,52,12,0,1632200006423.0
"City of Detroit, Precinct 424",47,32,2,0,1632200006424.0
"City of Detroit, Precinct 425",121,75,23,0,1632200006425.0
"City of Detroit, Precinct 426",162,133,8,0,1632200005426.0
"City of Detroit, Precinct 428",160,136,10,1,1632200005428.0
"City of Detroit, Precinct 429",95,74,7,0,1632200005429.0
"City of Detroit, Precinct 43",225,186,15,1,1632200004043.0
"City of Detroit, Precinct 430",157,120,8,1,1632200005430.0
"City of Detroit, Precinct 432",145,115,4,0,1632200005432.0
"City of Detroit, Precinct 433",99,80,6,0,1632200005433.0
"City of Detroit, Precinct 434",82,72,3,0,1632200005434.0
"City of Detroit, Precinct 435",37,31,1,0,1632200005435.0
"City of Detroit, Precinct 436",223,178,23,0,1632200005436.0
"City of Detroit, Precinct 437",98,83,8,1,1632200005437.0
"City of Detroit, Precinct 438",91,71,9,0,1632200005438.0
"City of Detroit, Precinct 439",104,86,9,0,1632200005439.0
"City of Detroit, Precinct 44",180,148,10,0,1632200004044.0
"City of Detroit, Precinct 440",46,36,5,0,1632200005440.0
"City of Detroit, Precinct 441",178,128,13,0,1632200005441.0
"City of Detroit, Precinct 442",264,215,15,2,1632200005442.0
"City of Detroit, Precinct 443",4,4,0,0,1632200005443.0
"City of Detroit, Precinct 444",0,0,0,0,1632200006444.0
"City of Detroit, Precinct 446",105,91,10,0,1632200005446.0
"City of Detroit, Precinct 447",110,90,7,0,1632200005447.0
"City of Detroit, Precinct 448",70,54,3,1,1632200005448.0
"City of Detroit, Precinct 449",102,84,6,0,1632200005449.0
"City of Detroit, Precinct 45",126,95,8,0,1632200004045.0
"City of Detroit, Precinct 450",0,0,0,0,1632200005450.0
"City of Detroit, Precinct 452",60,46,3,1,1632200005452.0
"City of Detroit, Precinct 453",82,71,3,0,1632200006453.0
"City of Detroit, Precinct 457",89,72,3,0,1632200006457.0
"City of Detroit, Precinct 458",70,46,6,0,1632200006458.0
"City of Detroit, Precinct 46",86,74,3,0,1632200004046.0
